year,world_gtco2,region,emissions_gtco2,pct_share
2018,36.730426557362776,United States,5.377797353125854,14.641260277027332
2018,36.730426557362776,European Union,3.0498679294358904,8.303382822611221
2018,36.730426557362776,Rest of World,15.376711019428928,41.863687576333355
2019,37.10427785781189,China,10.71398481906079,28.87533577696374
2019,37.10427785781189,India,2.6128880378309773,7.042012912483791
2019,37.10427785781189,United States,5.262145074316446,14.182044168819635
2019,37.10427785781189,European Union,2.9047077976459987,7.828498397886068
2019,37.10427785781189,Rest of World,15.610552128957673,42.07210874384676
2020,35.126526123731026,China,10.905692963763483,31.046887259357366
2020,35.126526123731026,India,2.421552261202166,6.893799439979908
2020,35.126526123731026,United States,4.714628031895343,13.421845403352314
2020,35.126526123731026,European Union,2.6273917329417573,7.479793827852295
2020,35.126526123731026,Rest of World,14.457261133928274,41.15767406945811
2021,36.991736275664024,China,11.44791286273868,30.94721690657701
2021,36.991736275664024,India,2.6742219105183915,7.229241392158438
2021,36.991736275664024,United States,5.032212819231027,13.603613471210865
2021,36.991736275664024,European Union,2.801144050312871,7.572350833814948
2021,36.991736275664024,Rest of World,15.036244632863056,40.64757739623874
2022,37.29383639277446,China,11.350537666704273,30.43542516560028
2022,37.29383639277446,India,2.831166260914098,7.591512525277838
2022,37.29383639277446,United States,5.078871323198887,13.61852738803482
2022,37.29383639277446,European Union,2.7400777974279276,7.34726716921729
2022,37.29383639277446,Rest of World,15.293183344529274,41.00726775186977
2023,37.7915687110248,China,11.902503160173499,31.495128585919808
2023,37.7915687110248,India,3.062324489737139,8.10319495640248
2023,37.7915687110248,United States,4.911391016665274,12.995996684394026
2023,37.7915687110248,European Union,2.5106219959532563,6.643338928719414
2023,37.7915687110248,Rest of World,15.404728048495633,40.76234084456427
